id,longitude,latitude,year,month,beat,precinct
1,-122.32886096,47.60334108,2014,12,K1,W
2,-122.327670674,47.59835588,2014,12,K3,W
3,-122.339358065,47.60978173,2014,12,M3,W
4,-122.337238169,47.60998189,2014,12,M3,W
5,-122.333633694,47.62198666,2014,12,D3,W
6,-122.269990262,47.5346718,2014,12,S2,S
7,-122.345653455,47.61403982,2014,12,D1,W
8,-122.269987054,47.52913012,2014,12,S2,S
9,-122.35531273,47.69190785,2014,12,J1,N
10,-122.339358065,47.60978173,2014,12,M3,W
11,-122.338348306,47.60951744,2014,12,M3,W
12,-122.31612396,47.6131198,2014,12,E2,E
13,-122.318812459,47.61524977,2014,12,E2,E
14,-122.324495896,47.61704694,2014,12,E1,E
15,-122.273925432,47.51164518,2014,12,S3,S
16,-122.338903689,47.60928514,2014,12,M1,W
17,-122.340467725,47.6093176,2014,12,M1,W
19,-122.332900256,47.61111025,2014,12,M2,W
20,-122.339980146,47.70504485,2014,12,N3,N
21,-122.338146747,47.61097516,2014,12,M2,W
23,-122.318100115,47.61227776,2014,12,E2,E
24,-122.334817764,47.61236844,2014,12,M2,W
25,-122.305597429,47.59193361,2014,12,G3,E
26,-122.335928546,47.61190423,2014,12,M2,W
27,-122.339812453,47.61027832,2014,12,M1,W
28,-122.335928546,47.61190423,2014,12,M2,W
29,-122.335928546,47.61190423,2014,12,M2,W
30,-122.322862029,47.61873029,2014,12,E1,E
31,-122.270154711,47.53644387,2014,12,S2,S
32,-122.270154711,47.53644387,2014,12,S2,S
33,-122.320915228,47.6225585,2014,12,E1,E
34,-122.320915228,47.6225585,2014,12,E1,E
35,-122.340467726,47.6093176,2014,12,M1,W
36,-122.324739384,47.58189222,2014,12,O1,S
37,-122.355519678,47.71506588,2014,12,N1,N
38,-122.317892566,47.53708722,2014,12,O3,S
39,-122.32063031,47.53865045,2014,12,O3,S
40,-122.32063031,47.53865045,2014,12,O3,S
41,-122.357981945,47.69061033,2014,12,J2,N
42,-122.339120539,47.61120103,2014,12,M2,W
43,-122.374895487,47.67235861,2014,12,B1,N
44,-122.345234879,47.61613769,2014,12,D1,W
45,-122.343801294,47.60861588,2014,12,M1,W
46,-122.338247298,47.6102463,2014,12,M3,W
47,-122.338903689,47.60928514,2014,12,M1,W
48,-122.320835832,47.61757129,2014,12,E2,E
49,-122.326573236,47.62604316,2014,12,C1,E
50,-122.364656712,47.69064793,2014,12,J2,N
51,-122.3289131,47.61346582,2014,12,E3,E
52,-122.293708796,47.60387232,2014,12,G2,E
53,-122.320771381,47.61351951,2014,12,E2,E
54,-122.325509965,47.61353453,2014,12,E3,E
55,-122.325509965,47.61353453,2014,12,E3,E
56,-122.33173538,47.60312654,2014,12,K1,W
57,-122.33173538,47.60312654,2014,12,K1,W
58,-122.277009224,47.54894544,2014,12,R3,S
59,-122.338348304,47.60951744,2014,12,M3,W
60,-122.337320425,47.61132124,2014,12,M2,W
61,-122.322241462,47.53963322,2014,12,O3,S
62,-122.322241462,47.53963322,2014,12,O3,S
63,-122.335574023,47.6106779,2014,12,M3,W
64,-122.337320423,47.61132124,2014,12,M3,W
65,-122.331306043,47.54488143,2014,12,O3,S
66,-122.288861931,47.56656048,2014,11,R3,S
67,-122.314712089,47.58144614,2014,11,R1,S
68,-122.313312741,47.55663572,2014,11,R1,S
69,-122.346740721,47.52555707,2014,11,F3,SW
70,-122.346740721,47.52555707,2014,11,F3,SW
71,-122.376789689,47.68596821,2014,11,J2,N
72,-122.376789689,47.68596821,2014,11,J2,N
73,-122.337938763,47.61416918,2014,11,M2,W
74,-122.28234489,47.53704403,2014,11,S1,S
75,-122.34238672,47.620304,2014,11,D2,W
76,-122.335125901,47.57876967,2014,11,O1,S
77,-122.335492082,47.71593029,2014,11,N2,N
78,-122.335492082,47.71593029,2014,11,N2,N
79,-122.268352109,47.50142693,2014,11,S3,S
80,-122.268352109,47.50142693,2014,11,S3,S
81,-122.343293152,47.70052091,2014,11,N3,N
82,-122.338903689,47.60928514,2014,11,M1,W
83,-122.337338753,47.60925298,2014,11,M3,W
84,-122.339358064,47.60978174,2014,11,M3,W
85,-122.338903689,47.60928514,2014,11,M1,W
86,-122.340467726,47.6093176,2014,11,M1,W
87,-122.337582721,47.72685451,2014,11,N2,N
88,-122.340467726,47.6093176,2014,11,M1,W
89,-122.344562699,47.61222186,2014,11,D1,W
90,-122.337792916,47.60974973,2014,11,M3,W
91,-122.33026479,47.60171616,2014,11,K3,W
92,-122.338348306,47.60951744,2014,11,M3,W
93,-122.317638162,47.66129873,2014,11,U2,N
94,-122.320561304,47.70857741,2014,11,L2,N
95,-122.331082199,47.60241242,2014,11,K2,W
96,-122.269694204,47.529311,2014,11,S2,S
97,-122.339256996,47.61051065,2014,11,M1,W
98,-122.272548029,47.52612667,2014,11,S2,S
99,-122.344976874,47.72321155,2014,11,N2,N
100,-122.34414364,47.61432035,2014,11,D1,W
101,-122.34414364,47.61432035,2014,11,D1,W
102,-122.34414364,47.61432035,2014,11,D1,W
103,-122.319206762,47.7085692,2014,11,L2,N
104,-122.320407416,47.61523808,2014,11,E2,E
105,-122.342100645,47.69054417,2014,11,N3,N
106,-122.342100645,47.69054417,2014,11,N3,N
107,-122.339358065,47.60978173,2014,11,M3,W
108,-122.339358065,47.60978173,2014,11,M3,W
109,-122.319446788,47.61408516,2014,11,E2,E
110,-122.319446788,47.61408516,2014,11,E2,E
111,-122.344896093,47.71717447,2014,11,N2,N
112,-122.344896093,47.71717447,2014,11,N2,N
113,-122.359359782,47.69423328,2014,11,J1,N
114,-122.316260113,47.52559586,2014,11,F3,SW
115,-122.324615158,47.7086028,2014,11,L2,N
116,-122.344896093,47.71717447,2014,11,N2,N
117,-122.320771381,47.61351951,2014,11,E2,E
118,-122.344896093,47.71717447,2014,11,N2,N
119,-122.338903689,47.60928514,2014,11,M1,W
120,-122.33809037,47.7123018,2014,11,N2,N
121,-122.344760025,47.70905971,2014,11,N2,N
122,-122.338903689,47.60928514,2014,11,M1,W
123,-122.341752608,47.61173309,2014,11,M1,W
124,-122.269983184,47.52617082,2014,11,S2,S
125,-122.337792916,47.60974973,2014,11,M3,W
126,-122.331408526,47.60276918,2014,11,K1,W
127,-122.318168851,47.6158384,2014,11,E2,E
128,-122.338146747,47.61097516,2014,11,M2,W
129,-122.314883026,47.69899812,2014,11,L2,N
130,-122.314883026,47.69899812,2014,11,L2,N
131,-122.386736586,47.57631007,2014,11,W1,SW
132,-122.335775242,47.60922111,2014,11,M3,W
133,-122.342573547,47.60779606,2014,11,M1,W
134,-122.328966299,47.59961646,2014,11,K3,W
135,-122.340467725,47.6093176,2014,11,M1,W
136,-122.390391669,47.53699939,2014,11,W3,SW
137,-122.339358064,47.60978174,2014,11,M3,W
138,-122.329586173,47.546693930000004,2014,11,O3,S
139,-122.339358064,47.60978174,2014,11,M3,W
140,-122.319456137,47.61466515,2014,11,E2,E
141,-122.302123288,47.60800753,2014,11,G2,E
142,-122.269986042,47.52330727,2014,11,S3,S
143,-122.269986042,47.52330727,2014,11,S3,S
144,-122.296859266,47.57457052,2014,11,R2,S
145,-122.330510332,47.60188591,2014,11,K2,W
146,-122.330510332,47.60188591,2014,11,K2,W
147,-122.329048253,47.58878256,2014,11,O1,S
148,-122.343653154,47.60868072,2014,11,M1,W
149,-122.343653154,47.60868072,2014,11,M1,W
150,-122.327880671,47.61664171,2014,11,E1,E
151,-122.331082199,47.60241242,2014,11,K2,W
152,-122.316779126,47.61097885,2014,11,E2,E
153,-122.266762268,47.51984486,2014,11,S3,S
154,-122.338348304,47.60951744,2014,11,M3,W
155,-122.344896093,47.71717447,2014,11,N2,N
156,-122.309467145,47.58421359,2014,11,R1,S
157,-122.320771381,47.61351951,2014,11,E2,E
158,-122.338247298,47.6102463,2014,11,M3,W
159,-122.323067107,47.62256802,2014,11,E1,E
160,-122.32244834,47.59834757,2014,11,K3,W
161,-122.313087963,47.66399625,2014,11,U2,N
162,-122.310248796,47.60622905,2014,11,G2,E
163,-122.377981103,47.52904507,2014,11,W3,SW
164,-122.377981103,47.52904507,2014,11,W3,SW
165,-122.333268686,47.5938359,2014,11,K2,W
166,-122.344560656,47.6938234,2014,10,N3,N
167,-122.344560656,47.6938234,2014,10,N3,N
168,-122.326151811,47.54714928,2014,10,O3,S
